Date,AAPL,AMZN,FB,GOOG,MSFT
2010-05-27 00:00:00,252.27000000000001,126.7,,490.45999999999998,24.550000000000001
2010-05-28 00:00:00,255.78,125.45999999999999,,485.63,24.359999999999999
2010-06-01 00:00:00,259.70999999999998,123.23999999999999,,482.37,24.449999999999999
2010-06-02 00:00:00,262.81999999999999,126.31,,493.37,24.98
2010-06-03 00:00:00,262.0,128.75999999999999,,505.60000000000002,25.359999999999999
2010-06-04 00:00:00,254.87,122.77,,498.72000000000003,24.350000000000001
2010-06-07 00:00:00,249.87,122.01000000000001,,485.51999999999998,23.879999999999999
2010-06-08 00:00:00,248.25999999999999,118.84,,484.77999999999997,23.710000000000001
2010-06-09 00:00:00,242.16,117.91,,474.01999999999998,23.41
2010-06-10 00:00:00,249.44,123.20999999999999,,487.00999999999999,23.609999999999999
2010-06-11 00:00:00,252.43000000000001,123.03,,488.5,24.23
2010-06-14 00:00:00,253.19,123.83,,483.19,24.079999999999998
2010-06-15 00:00:00,258.57999999999998,126.84,,497.99000000000001,25.100000000000001
2010-06-16 00:00:00,266.11000000000001,126.90000000000001,,501.26999999999998,24.850000000000001
2010-06-17 00:00:00,270.70999999999998,125.89,,500.07999999999998,24.899999999999999
2010-06-18 00:00:00,272.89999999999998,125.83,,500.02999999999997,24.969999999999999
2010-06-21 00:00:00,269.00999999999999,122.55,,488.56,24.5
2010-06-22 00:00:00,272.68000000000001,122.31,,486.25,24.329999999999998
2010-06-23 00:00:00,269.81,121.45,,482.05000000000001,23.899999999999999
2010-06-24 00:00:00,267.85000000000002,118.33,,475.10000000000002,23.609999999999999
2010-06-25 00:00:00,265.56,121.0,,472.68000000000001,23.16
2010-06-28 00:00:00,267.14999999999998,117.8,,472.07999999999998,22.949999999999999
2010-06-29 00:00:00,255.06999999999999,108.61,,454.25999999999999,22.010000000000002
2010-06-30 00:00:00,250.44999999999999,109.26000000000001,,444.94999999999999,21.73
2010-07-01 00:00:00,247.41999999999999,110.95999999999999,,439.49000000000001,21.870000000000001
2010-07-02 00:00:00,245.88,109.14,,436.55000000000001,21.969999999999999
2010-07-06 00:00:00,247.56999999999999,110.06,,436.06999999999999,22.489999999999998
2010-07-07 00:00:00,257.56,113.43000000000001,,450.19999999999999,22.949999999999999
2010-07-08 00:00:00,256.99000000000001,116.22,,456.56,23.050000000000001
2010-07-09 00:00:00,258.50999999999999,117.26000000000001,,467.49000000000001,22.920000000000002
2010-07-12 00:00:00,256.19,119.51000000000001,,475.82999999999998,23.449999999999999
2010-07-13 00:00:00,250.72,123.65000000000001,,489.19999999999999,23.73
2010-07-14 00:00:00,251.65000000000001,123.3,,491.33999999999997,24.02
2010-07-15 00:00:00,250.38,122.06,,494.01999999999998,24.09
2010-07-16 00:00:00,248.83000000000001,118.48999999999999,,459.61000000000001,23.5
2010-07-19 00:00:00,244.53,119.94,,466.18000000000001,23.82
2010-07-20 00:00:00,250.81,120.09999999999999,,481.58999999999997,24.059999999999999
2010-07-21 00:00:00,253.15000000000001,117.43000000000001,,477.5,23.719999999999999
2010-07-22 00:00:00,257.91000000000003,120.06999999999999,,484.81,24.399999999999999
2010-07-23 00:00:00,258.82999999999998,118.87,,490.06,24.370000000000001
2010-07-26 00:00:00,258.17000000000002,118.40000000000001,,488.97000000000003,24.640000000000001
2010-07-27 00:00:00,262.94999999999999,117.13,,492.63,24.699999999999999
2010-07-28 00:00:00,259.83999999999997,117.13,,484.35000000000002,24.5
2010-07-29 00:00:00,257.00999999999999,116.86,,484.99000000000001,24.579999999999998
2010-07-30 00:00:00,256.14999999999998,117.89,,484.85000000000002,24.370000000000001
2010-08-02 00:00:00,260.73000000000002,120.06999999999999,,490.41000000000003,24.859999999999999
2010-08-03 00:00:00,260.81,122.42,,489.82999999999998,24.699999999999999
2010-08-04 00:00:00,261.86000000000001,127.58,,506.31999999999999,24.300000000000001
2010-08-05 00:00:00,260.57999999999998,127.83,,508.10000000000002,23.960000000000001
2010-08-06 00:00:00,258.98000000000002,128.31999999999999,,500.22000000000003,24.129999999999999
2010-08-09 00:00:00,260.63,128.83000000000001,,505.35000000000002,24.18
2010-08-10 00:00:00,258.30000000000001,130.0,,503.70999999999998,23.670000000000002
2010-08-11 00:00:00,249.12,125.89,,491.74000000000001,23.469999999999999
2010-08-12 00:00:00,250.71000000000001,126.56,,492.00999999999999,23.120000000000001
2010-08-13 00:00:00,248.03999999999999,124.69,,486.35000000000002,23.039999999999999
2010-08-16 00:00:00,246.58000000000001,126.06999999999999,,485.58999999999997,23.129999999999999
2010-08-17 00:00:00,250.88999999999999,128.86000000000001,,490.51999999999998,23.460000000000001
2010-08-18 00:00:00,251.99000000000001,129.65000000000001,,482.14999999999998,23.559999999999999
2010-08-19 00:00:00,248.81,127.56999999999999,,467.97000000000003,23.199999999999999
2010-08-20 00:00:00,248.56999999999999,127.76000000000001,,462.01999999999998,23.0
2010-08-23 00:00:00,244.75,126.59999999999999,,464.06999999999999,23.050000000000001
2010-08-24 00:00:00,238.90000000000001,124.53,,451.38999999999999,22.82
2010-08-25 00:00:00,241.84999999999999,126.84999999999999,,454.62,22.879999999999999
2010-08-26 00:00:00,239.25,124.86,,450.98000000000002,22.609999999999999
2010-08-27 00:00:00,240.59,126.64,,458.82999999999998,22.719999999999999
2010-08-30 00:00:00,241.46000000000001,123.79000000000001,,452.69,22.440000000000001
2010-08-31 00:00:00,242.06,124.83,,450.01999999999998,22.280000000000001
2010-09-01 00:00:00,249.25999999999999,132.49000000000001,,460.32999999999998,22.690000000000001
2010-09-02 00:00:00,251.09,135.21000000000001,,463.18000000000001,22.73
2010-09-03 00:00:00,257.66000000000003,138.78999999999999,,470.30000000000001,23.059999999999999
2010-09-07 00:00:00,256.70999999999998,137.22,,464.39999999999998,22.739999999999998
2010-09-08 00:00:00,261.80000000000001,139.13999999999999,,470.57999999999998,22.719999999999999
2010-09-09 00:00:00,261.94999999999999,140.38,,476.18000000000001,22.789999999999999
2010-09-10 00:00:00,262.27999999999997,142.44,,476.13999999999999,22.640000000000001
2010-09-13 00:00:00,265.89999999999998,145.06999999999999,,482.26999999999998,23.84
2010-09-14 00:00:00,266.91000000000003,145.75,,480.43000000000001,23.760000000000002
2010-09-15 00:00:00,269.06,145.44999999999999,,480.63999999999999,23.850000000000001
2010-09-16 00:00:00,275.38999999999999,148.13,,481.06,24.050000000000001
2010-09-17 00:00:00,274.19,148.31999999999999,,490.14999999999998,23.940000000000001
2010-09-20 00:00:00,282.01999999999998,151.30000000000001,,508.27999999999997,24.140000000000001
2010-09-21 00:00:00,282.56,150.72999999999999,,513.46000000000004,23.870000000000001
2010-09-22 00:00:00,286.51999999999998,151.83000000000001,,516.0,23.359999999999999
2010-09-23 00:00:00,287.68000000000001,152.84999999999999,,513.48000000000002,23.190000000000001
2010-09-24 00:00:00,291.06999999999999,160.72999999999999,,527.28999999999996,23.52
2010-09-27 00:00:00,289.92000000000002,159.37,,530.40999999999997,23.48
2010-09-28 00:00:00,285.63,159.69999999999999,,527.16999999999996,23.43
2010-09-29 00:00:00,286.13999999999999,158.99000000000001,,527.69000000000005,23.260000000000002
2010-09-30 00:00:00,282.54000000000002,157.06,,525.78999999999996,23.25
2010-10-01 00:00:00,281.31,153.71000000000001,,525.62,23.140000000000001
2010-10-04 00:00:00,277.44999999999999,155.38999999999999,,522.35000000000002,22.699999999999999
2010-10-05 00:00:00,287.69999999999999,160.87,,538.23000000000002,23.109999999999999
2010-10-06 00:00:00,287.94999999999999,155.40000000000001,,534.35000000000002,23.190000000000001
2010-10-07 00:00:00,287.98000000000002,156.27000000000001,,530.00999999999999,23.289999999999999
2010-10-08 00:00:00,292.81,155.55000000000001,,536.35000000000002,23.32
2010-10-11 00:00:00,294.10000000000002,153.03,,538.84000000000003,23.34
2010-10-12 00:00:00,297.25999999999999,156.47999999999999,,541.38999999999999,23.57
2010-10-13 00:00:00,298.86000000000001,155.16999999999999,,543.29999999999995,24.050000000000001
2010-10-14 00:00:00,301.01999999999998,155.53,,540.92999999999995,23.949999999999999
2010-10-15 00:00:00,313.38999999999999,164.63999999999999,,601.45000000000005,24.239999999999998
2010-10-18 00:00:00,316.63999999999999,163.56,,617.71000000000004,24.510000000000002
2010-10-19 00:00:00,308.17000000000002,158.66999999999999,,607.83000000000004,23.829999999999998
2010-10-20 00:00:00,309.19999999999999,158.66999999999999,,607.98000000000002,24.030000000000001
2010-10-21 00:00:00,308.19999999999999,164.97,,611.99000000000001,24.129999999999999
2010-10-22 00:00:00,306.16000000000003,169.13,,612.52999999999997,24.09
2010-10-25 00:00:00,307.51999999999998,169.0,,616.5,23.91
2010-10-26 00:00:00,306.73000000000002,169.94999999999999,,618.60000000000002,24.59
2010-10-27 00:00:00,306.50999999999999,167.50999999999999,,616.47000000000003,24.73
2010-10-28 00:00:00,303.94,166.84,,618.58000000000004,24.949999999999999
2010-10-29 00:00:00,299.69,165.22999999999999,,613.70000000000005,25.32
2010-11-01 00:00:00,302.88,162.58000000000001,,615.0,25.579999999999998
2010-11-02 00:00:00,308.04000000000002,164.61000000000001,,615.60000000000002,26.0
2010-11-03 00:00:00,311.45999999999998,168.47,,620.17999999999995,25.66
2010-11-04 00:00:00,316.91000000000003,168.93000000000001,,624.26999999999998,25.760000000000002
2010-11-05 00:00:00,315.76999999999998,170.77000000000001,,625.08000000000004,25.489999999999998
2010-11-08 00:00:00,317.25999999999999,171.99000000000001,,626.76999999999998,25.449999999999999
2010-11-09 00:00:00,314.73000000000002,170.27000000000001,,624.82000000000005,25.579999999999998
2010-11-10 00:00:00,316.67000000000002,173.33000000000001,,622.88,25.57
2010-11-11 00:00:00,315.30000000000001,170.37,,617.19000000000005,25.329999999999998
2010-11-12 00:00:00,306.70999999999998,165.68000000000001,,603.28999999999996,24.940000000000001
2010-11-15 00:00:00,305.73000000000002,158.90000000000001,,595.47000000000003,24.870000000000001
2010-11-16 00:00:00,300.30000000000001,157.78,,583.72000000000003,24.649999999999999
2010-11-17 00:00:00,299.22000000000003,158.34999999999999,,583.54999999999995,24.420000000000002
2010-11-18 00:00:00,307.11000000000001,164.16999999999999,,596.55999999999995,24.68
2010-11-19 00:00:00,305.42000000000002,164.81999999999999,,590.83000000000004,24.539999999999999
2010-11-22 00:00:00,312.01999999999998,170.38999999999999,,591.22000000000003,24.579999999999998
2010-11-23 00:00:00,307.41000000000003,168.19999999999999,,583.00999999999999,23.989999999999998
2010-11-24 00:00:00,313.44999999999999,177.25,,594.97000000000003,24.23
2010-11-26 00:00:00,313.64999999999998,177.19999999999999,,590.0,24.120000000000001
2010-11-29 00:00:00,315.51999999999998,179.49000000000001,,582.11000000000001,24.170000000000002
2010-11-30 00:00:00,309.81999999999999,175.40000000000001,,555.71000000000004,24.129999999999999
2010-12-01 00:00:00,315.05000000000001,176.55000000000001,,564.35000000000002,24.870000000000001
2010-12-02 00:00:00,316.79000000000002,176.53,,571.82000000000005,25.68
